id,name,source,category,size
667,Dataset 667,Web Scraping,Security,24848
668,Dataset 668,Web Scraping,Sensor,737
669,Dataset 669,Web Scraping,Retail,76610
670,Dataset 670,Sensor,Retail,54822
671,Dataset 671,Web Scraping,Retail,39043
672,Dataset 672,Web Scraping,Retail,52548
673,Dataset 673,Manual Upload,Retail,50842
674,Dataset 674,Sensor,Security,99734
675,Dataset 675,API,Security,65275
676,Dataset 676,Web Scraping,Retail,61239
677,Dataset 677,Web Scraping,Finance,49642
678,Dataset 678,Web Scraping,Retail,68799
679,Dataset 679,Sensor,Finance,62780
680,Dataset 680,API,Health,32748
681,Dataset 681,Manual Upload,Retail,9605
682,Dataset 682,Sensor,Sensor,95471
683,Dataset 683,Sensor,Health,33879
684,Dataset 684,API,Retail,79187
685,Dataset 685,API,Health,92220
686,Dataset 686,Manual Upload,Finance,61564
687,Dataset 687,API,Sensor,39520
688,Dataset 688,Manual Upload,Security,13256
689,Dataset 689,Manual Upload,Retail,49422
690,Dataset 690,Manual Upload,Retail,75020
691,Dataset 691,API,Security,94439
692,Dataset 692,Manual Upload,Health,10103
693,Dataset 693,Sensor,Retail,24623
694,Dataset 694,API,Security,53766
695,Dataset 695,Manual Upload,Retail,97263
696,Dataset 696,Sensor,Health,96601
697,Dataset 697,Sensor,Health,70703
698,Dataset 698,Sensor,Finance,16731
699,Dataset 699,Sensor,Retail,52903
700,Dataset 700,Sensor,Health,43526
701,Dataset 701,Manual Upload,Health,7369
702,Dataset 702,Manual Upload,Finance,52674
703,Dataset 703,Web Scraping,Security,78033
704,Dataset 704,Manual Upload,Finance,97762
705,Dataset 705,Sensor,Sensor,97849
706,Dataset 706,Sensor,Health,55211
707,Dataset 707,Manual Upload,Finance,24292
708,Dataset 708,Sensor,Retail,12324
709,Dataset 709,Web Scraping,Finance,26767
710,Dataset 710,Sensor,Security,35670
711,Dataset 711,Web Scraping,Retail,27540
712,Dataset 712,API,Finance,41199
713,Dataset 713,API,Retail,23254
714,Dataset 714,API,Health,29319
715,Dataset 715,Web Scraping,Finance,77381
716,Dataset 716,Manual Upload,Sensor,22886
717,Dataset 717,API,Security,7451
718,Dataset 718,Manual Upload,Retail,76216
719,Dataset 719,Sensor,Retail,57785
720,Dataset 720,Web Scraping,Health,86781
721,Dataset 721,Manual Upload,Finance,94891
722,Dataset 722,Sensor,Sensor,70442
723,Dataset 723,Manual Upload,Sensor,979
724,Dataset 724,Manual Upload,Health,10855
725,Dataset 725,Web Scraping,Health,39151
726,Dataset 726,API,Finance,48231
727,Dataset 727,Manual Upload,Retail,27744
728,Dataset 728,API,Retail,51157
729,Dataset 729,Sensor,Sensor,90714
730,Dataset 730,Web Scraping,Retail,13621
731,Dataset 731,Web Scraping,Health,74011
732,Dataset 732,Sensor,Retail,83828
733,Dataset 733,Manual Upload,Retail,36699
734,Dataset 734,API,Sensor,73961
735,Dataset 735,Web Scraping,Health,54433
736,Dataset 736,Web Scraping,Finance,45879
737,Dataset 737,Sensor,Health,50661
738,Dataset 738,Sensor,Security,34888
739,Dataset 739,Web Scraping,Finance,55716
740,Dataset 740,Manual Upload,Health,36856
741,Dataset 741,Sensor,Sensor,47990
742,Dataset 742,Manual Upload,Security,85290
743,Dataset 743,API,Health,55109
744,Dataset 744,API,Security,10572
745,Dataset 745,API,Sensor,68061
746,Dataset 746,Sensor,Health,42354
747,Dataset 747,API,Retail,74821
748,Dataset 748,Manual Upload,Finance,96815
749,Dataset 749,Web Scraping,Sensor,15012
750,Dataset 750,Web Scraping,Security,53995
751,Dataset 751,API,Sensor,68657
752,Dataset 752,Manual Upload,Health,19443
753,Dataset 753,Manual Upload,Sensor,57185
754,Dataset 754,Sensor,Retail,51742
755,Dataset 755,Web Scraping,Health,41308
756,Dataset 756,API,Health,35294
757,Dataset 757,Web Scraping,Sensor,1575
758,Dataset 758,Sensor,Retail,95438
759,Dataset 759,Web Scraping,Retail,36891
760,Dataset 760,Sensor,Health,64282
761,Dataset 761,API,Finance,81923
762,Dataset 762,Manual Upload,Finance,38631
763,Dataset 763,Manual Upload,Sensor,37307
764,Dataset 764,Web Scraping,Retail,74297
765,Dataset 765,Manual Upload,Retail,47391
766,Dataset 766,Manual Upload,Health,15045
767,Dataset 767,Sensor,Retail,92633
768,Dataset 768,API,Security,58994
769,Dataset 769,Web Scraping,Health,64528
770,Dataset 770,Sensor,Finance,45381
771,Dataset 771,Sensor,Health,49274
772,Dataset 772,Sensor,Retail,815
773,Dataset 773,Manual Upload,Retail,94221
774,Dataset 774,Sensor,Retail,43939
775,Dataset 775,Manual Upload,Health,3721
776,Dataset 776,API,Finance,26468
777,Dataset 777,Web Scraping,Health,14387
778,Dataset 778,Web Scraping,Health,41861
779,Dataset 779,Sensor,Sensor,73857
780,Dataset 780,API,Security,17483
781,Dataset 781,Manual Upload,Health,95497
782,Dataset 782,Manual Upload,Health,46437
783,Dataset 783,Manual Upload,Health,97954
784,Dataset 784,Sensor,Finance,36837
785,Dataset 785,Web Scraping,Finance,35247
786,Dataset 786,Web Scraping,Sensor,23270
787,Dataset 787,Manual Upload,Finance,65057
788,Dataset 788,API,Retail,21229
789,Dataset 789,Manual Upload,Security,52138
790,Dataset 790,Web Scraping,Finance,60085
791,Dataset 791,Sensor,Health,98306
792,Dataset 792,API,Retail,77380
793,Dataset 793,Sensor,Security,89097
794,Dataset 794,Manual Upload,Health,70962
795,Dataset 795,API,Security,65177
796,Dataset 796,Web Scraping,Sensor,89631
797,Dataset 797,Web Scraping,Finance,98815
798,Dataset 798,Web Scraping,Sensor,40072
799,Dataset 799,Web Scraping,Security,53908
800,Dataset 800,Manual Upload,Health,15191
801,Dataset 801,Sensor,Health,19841
802,Dataset 802,Web Scraping,Security,10557
803,Dataset 803,Manual Upload,Retail,44514
804,Dataset 804,Web Scraping,Sensor,32932
805,Dataset 805,API,Security,12177
806,Dataset 806,Web Scraping,Health,14024
807,Dataset 807,Sensor,Security,73718
808,Dataset 808,Sensor,Finance,68413
809,Dataset 809,Manual Upload,Health,84852
810,Dataset 810,API,Finance,41679
811,Dataset 811,Manual Upload,Retail,62027
812,Dataset 812,Manual Upload,Finance,40537
813,Dataset 813,API,Sensor,61784
814,Dataset 814,Sensor,Retail,67530
815,Dataset 815,Web Scraping,Sensor,63516
816,Dataset 816,Web Scraping,Sensor,7835
817,Dataset 817,API,Health,1988
818,Dataset 818,Web Scraping,Sensor,91514
819,Dataset 819,Web Scraping,Retail,77714
820,Dataset 820,Web Scraping,Retail,96997
821,Dataset 821,Web Scraping,Finance,67869
822,Dataset 822,Web Scraping,Retail,89457
823,Dataset 823,Web Scraping,Security,77349
824,Dataset 824,Sensor,Security,85395
825,Dataset 825,API,Finance,36955
826,Dataset 826,Web Scraping,Sensor,92470
827,Dataset 827,Web Scraping,Finance,47510
828,Dataset 828,Web Scraping,Finance,72523
829,Dataset 829,Web Scraping,Finance,87776
830,Dataset 830,API,Sensor,58412
831,Dataset 831,API,Health,39227
832,Dataset 832,API,Sensor,38298
833,Dataset 833,Manual Upload,Finance,93694
834,Dataset 834,Manual Upload,Retail,93588
835,Dataset 835,Web Scraping,Security,38894
836,Dataset 836,Sensor,Retail,80111
837,Dataset 837,Sensor,Sensor,23221
838,Dataset 838,API,Health,69063
839,Dataset 839,Sensor,Finance,39980
840,Dataset 840,API,Finance,45187
841,Dataset 841,Web Scraping,Security,58298
842,Dataset 842,Web Scraping,Security,10414
843,Dataset 843,API,Health,62573
844,Dataset 844,Manual Upload,Security,10430
845,Dataset 845,Manual Upload,Sensor,70037
846,Dataset 846,Web Scraping,Retail,19576
847,Dataset 847,Web Scraping,Health,14858
848,Dataset 848,Web Scraping,Security,56776
849,Dataset 849,Web Scraping,Health,13263
850,Dataset 850,Sensor,Finance,87471
851,Dataset 851,Sensor,Health,65849
852,Dataset 852,Sensor,Health,74101
853,Dataset 853,Web Scraping,Health,11076
854,Dataset 854,Sensor,Health,96166
855,Dataset 855,Sensor,Security,4598
856,Dataset 856,Sensor,Finance,9383
857,Dataset 857,Sensor,Finance,65840
858,Dataset 858,Sensor,Security,26151
859,Dataset 859,Web Scraping,Finance,54757
860,Dataset 860,API,Health,34908
861,Dataset 861,Web Scraping,Health,94750
862,Dataset 862,Manual Upload,Sensor,95275
863,Dataset 863,Web Scraping,Retail,54600
864,Dataset 864,Web Scraping,Finance,37448
865,Dataset 865,Web Scraping,Health,29743
866,Dataset 866,Sensor,Finance,49089
867,Dataset 867,API,Retail,36592
868,Dataset 868,Sensor,Retail,63489
869,Dataset 869,Web Scraping,Health,37407
870,Dataset 870,Web Scraping,Sensor,66251
871,Dataset 871,API,Sensor,29002
872,Dataset 872,Sensor,Finance,82684
873,Dataset 873,Web Scraping,Retail,21616
874,Dataset 874,Sensor,Security,82421
875,Dataset 875,Manual Upload,Finance,91265
876,Dataset 876,Sensor,Security,22890
877,Dataset 877,API,Security,10950
878,Dataset 878,Manual Upload,Finance,76903
879,Dataset 879,API,Health,55444
880,Dataset 880,Sensor,Finance,52207
881,Dataset 881,Manual Upload,Health,35112
882,Dataset 882,Manual Upload,Finance,17953
883,Dataset 883,API,Health,19459
884,Dataset 884,API,Security,9777
885,Dataset 885,Sensor,Security,6734
886,Dataset 886,Manual Upload,Security,90802
887,Dataset 887,Web Scraping,Sensor,81869
888,Dataset 888,API,Health,53629
889,Dataset 889,API,Retail,9306
890,Dataset 890,Manual Upload,Security,65876
891,Dataset 891,Manual Upload,Health,56779
892,Dataset 892,Web Scraping,Security,36267
893,Dataset 893,Sensor,Finance,53835
894,Dataset 894,API,Health,63012
895,Dataset 895,Manual Upload,Finance,16860
896,Dataset 896,Web Scraping,Sensor,63221
897,Dataset 897,Manual Upload,Security,91411
898,Dataset 898,API,Security,54814
899,Dataset 899,Web Scraping,Security,39692
900,Dataset 900,API,Retail,88967
901,Dataset 901,Sensor,Security,44291
902,Dataset 902,Web Scraping,Sensor,68885
903,Dataset 903,Sensor,Retail,98923
904,Dataset 904,Web Scraping,Health,90374
905,Dataset 905,Sensor,Security,21145
906,Dataset 906,Manual Upload,Sensor,52231
907,Dataset 907,API,Sensor,97540
908,Dataset 908,API,Security,11778
909,Dataset 909,Manual Upload,Finance,74003
910,Dataset 910,Web Scraping,Security,28843
911,Dataset 911,Web Scraping,Security,87632
912,Dataset 912,API,Health,12124
913,Dataset 913,Manual Upload,Retail,15596
914,Dataset 914,Manual Upload,Finance,24089
915,Dataset 915,API,Sensor,84569
916,Dataset 916,Sensor,Retail,84313
917,Dataset 917,Manual Upload,Security,302
918,Dataset 918,Sensor,Health,76893
919,Dataset 919,Sensor,Health,10392
920,Dataset 920,Sensor,Sensor,73647
921,Dataset 921,Sensor,Security,92695
922,Dataset 922,Web Scraping,Retail,12796
923,Dataset 923,Manual Upload,Health,45913
924,Dataset 924,Web Scraping,Health,52047
925,Dataset 925,Web Scraping,Retail,77259
926,Dataset 926,API,Retail,13466
927,Dataset 927,Web Scraping,Retail,85238
928,Dataset 928,Manual Upload,Sensor,96332
929,Dataset 929,Sensor,Sensor,11050
930,Dataset 930,Sensor,Sensor,24501
931,Dataset 931,Manual Upload,Finance,84270
932,Dataset 932,API,Security,45031
933,Dataset 933,Manual Upload,Security,91604
934,Dataset 934,Web Scraping,Security,11525
935,Dataset 935,Web Scraping,Health,31589
936,Dataset 936,Sensor,Finance,83058
937,Dataset 937,Web Scraping,Sensor,17823
938,Dataset 938,Sensor,Health,41727
939,Dataset 939,Manual Upload,Security,74692
940,Dataset 940,Manual Upload,Security,17739
941,Dataset 941,Sensor,Sensor,75430
942,Dataset 942,Web Scraping,Security,44477
943,Dataset 943,API,Security,77961
944,Dataset 944,Manual Upload,Health,51737
945,Dataset 945,Sensor,Retail,60485
946,Dataset 946,Sensor,Sensor,14537
947,Dataset 947,Sensor,Finance,31676
948,Dataset 948,Web Scraping,Retail,17375
949,Dataset 949,Manual Upload,Sensor,14091
950,Dataset 950,Web Scraping,Sensor,60714
951,Dataset 951,Web Scraping,Retail,7060
952,Dataset 952,Web Scraping,Retail,68262
953,Dataset 953,API,Sensor,3561
954,Dataset 954,Manual Upload,Sensor,25764
955,Dataset 955,API,Health,6821
956,Dataset 956,Web Scraping,Finance,95240
957,Dataset 957,API,Finance,88653
958,Dataset 958,Web Scraping,Retail,41285
959,Dataset 959,Sensor,Retail,82566
960,Dataset 960,Manual Upload,Sensor,81709
961,Dataset 961,API,Security,93418
962,Dataset 962,API,Health,74474
963,Dataset 963,Web Scraping,Retail,72480
964,Dataset 964,API,Retail,70679
965,Dataset 965,Sensor,Sensor,39805
966,Dataset 966,Manual Upload,Health,2079
967,Dataset 967,API,Sensor,72192
968,Dataset 968,Web Scraping,Finance,39189
969,Dataset 969,Web Scraping,Finance,80406
970,Dataset 970,Web Scraping,Health,99132
971,Dataset 971,Manual Upload,Retail,72304
972,Dataset 972,Manual Upload,Retail,7859
973,Dataset 973,Manual Upload,Security,83184
974,Dataset 974,Sensor,Security,72994
975,Dataset 975,Web Scraping,Sensor,12569
976,Dataset 976,Sensor,Retail,20514
977,Dataset 977,API,Retail,42760
978,Dataset 978,Sensor,Health,89523
979,Dataset 979,API,Finance,89286
980,Dataset 980,Sensor,Health,54748
981,Dataset 981,Sensor,Sensor,19217
982,Dataset 982,Sensor,Retail,16718
983,Dataset 983,Web Scraping,Sensor,13456
984,Dataset 984,Sensor,Health,69337
985,Dataset 985,Web Scraping,Security,50107
986,Dataset 986,Manual Upload,Security,80912
987,Dataset 987,Sensor,Sensor,55509
988,Dataset 988,Manual Upload,Security,53132
989,Dataset 989,Web Scraping,Security,45914
990,Dataset 990,Manual Upload,Sensor,49374
991,Dataset 991,Manual Upload,Health,12564
992,Dataset 992,API,Security,44791
993,Dataset 993,API,Security,71362
994,Dataset 994,Manual Upload,Health,16790
995,Dataset 995,Manual Upload,Finance,4973
996,Dataset 996,Manual Upload,Health,5597
997,Dataset 997,API,Health,11085
998,Dataset 998,Web Scraping,Retail,55503
999,Dataset 999,API,Health,59788
1000,Dataset 1000,API,Health,90136
